Magma V2.28-11    Sun May  4 2025 19:26:43 on kashi    [Seed = 1428851019]

+-------------------------------------------------------------------+
|       This copy of Magma has been made available through a        |
|                   generous initiative of the                      |
|                                                                   |
|                         Simons Foundation                         |
|                                                                   |
| covering U.S. Colleges, Universities, Nonprofit Research entities,|
|               and their students, faculty, and staff              |
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 8, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 48, ≥ 2]]
Quantum Code Found: [[50, 2, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 12, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 22, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 32, ≥ 2]]
Quantum Code Found: [[50, 42, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 8, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 48, ≥ 2]]
Quantum Code Found: [[50, 4, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 14, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 24, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 34, ≥ 2]]
Quantum Code Found: [[50, 44, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 8, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 48, ≥ 2]]
Quantum Code Found: [[50, 6, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 16, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 26, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 36, ≥ 2]]
Quantum Code Found: [[50, 46, ≥ 2]]
Quantum Code Found: [[50, 8, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 48, ≥ 2]]
Quantum Code Found: [[50, 8, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 18, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 28, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 38, ≥ 2]]
Quantum Code Found: [[50, 48, ≥ 2]]
Quantum Code Found: [[50, 10, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 40, ≥ 2]]
Quantum Code Found: [[50, 20, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 40, ≥ 2]]
Quantum Code Found: [[50, 30, ≥ 2]]
Quantum Code Found: [[50, 40, ≥ 2]]
Quantum Code Found: [[50, 40, ≥ 2]]

Total time: 144.650 seconds, Total memory usage: 32.09MB
	Command being timed: "magma /home/nguyen7/QuantumCode/QECC_FromQT/auto_run_theorem_3/Input/q4_n50.m"
	User time (seconds): 144.57
	System time (seconds): 0.09
	Percent of CPU this job got: 22%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 10:41.01
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 30208
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 4492
	Voluntary context switches: 14
	Involuntary context switches: 40609
	Swaps: 0
	File system inputs: 0
	File system outputs: 968
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
